,Tot Dom Deposits to Tot Assets,Pretax ROA,Return On Assets,Net Op Inc to Assets,NonInterest Inc to Ave Asset,NonInterest Exp to Ave Asset,Net Interest Margin,RE to Ave Equity,Efficiency Ratio,Net Loans Lease to Tot Assets,Return on Equity
3039,85.06785846,1.158690222,0.841055503,0.841055503,1.048001287,3.1821458,3.696778517,1.786017135,73.81998625,71.87524717,7.634141349
3041,81.54925737,1.154012444,0.951859999,0.944325226,0.304642321,2.246530962,3.378014523,5.3970048089999985,64.98666484,61.81997422,5.3970048089999985
3042,82.74091627,1.642356939,1.215150265,1.215150265,0.205640814,2.050868994,3.757743636,11.62725488,53.39823328,83.05524003,13.12272175
3043,86.50337787,0.45881709,0.405313667,0.405313667,0.524939245,2.749369297,2.8506949839999995,1.7477270719999998,85.67159484,63.24743514,4.725336158
3044,85.15571721,1.345816686,1.342321058,1.342321058,0.398501564,2.135828559,3.264389928,6.479251013,60.43521266,47.734625,13.89962229
3046,71.94833514,1.109626388,0.816679148,0.816679148,0.508803101,2.7752896430000003,3.540865615,7.11759181,72.07321724,84.88092808,7.11759181
3048,86.76748236,-1.877852821,-1.877852821,-1.877852821,0.07472424700000001,3.716719079,1.781028601,-29.58542022,202.12014130000003,46.25790487,-29.58542022
3049,81.91520828,0.936868841,0.759620195,0.759620195,0.63311517,2.911385714,3.463550442,8.38527724,74.47804285,82.84167868,8.38527724
3050,83.018976,1.44611951,1.44611951,1.44611951,0.272668999,2.072608995,3.366408295,9.544892866,58.90221402,32.76899032,9.544892866
3051,83.14122918,1.213278918,1.199301051,1.199301051,0.106231795,1.730460024,2.955210842,4.424216711000001,58.17669173,38.64265727,7.41401941
3052,64.85016959,2.129867964,1.6083728869999998,1.6083728869999998,0.021066075,1.87883057,4.063313581,4.8718099000000015,47.4875208,94.06928891,4.8718099000000015
3053,75.06774721,0.94388755,0.7556223259999999,0.7556223259999999,0.203633813,2.391096412,3.61673925,5.785541735,66.34683724,91.62176879,5.785541735
3054,74.61813985,0.820101842,0.68899873,0.598679061,0.614015295,2.547550403,2.868526299,4.3322887460000015,77.40363949,47.61940889,8.032327231
3056,68.56886168,1.837175793,1.742205921,1.742205921,0.216138329,1.820801677,3.677934097,8.585234296,48.47428073,73.19069644,11.9563996
3057,88.36430719,0.941626974,0.691194268,0.691194268,0.116868596,2.430866799,3.46720621,6.32029226,70.33816425,81.13213993,6.32029226
3058,89.66439199,0.8153202690000001,0.681661208,0.6797899820000001,0.752946041,2.789019062,3.083636714,3.398181973,77.42733457,38.50990044,6.752231712
3059,75.79213029,1.330125617,1.055821306,1.058153387,2.203257234,3.899261818,3.749228717,-1.314283294,71.25074912,70.73128108,7.184263691
3060,81.03862492,0.763410185,0.6030921929999999,0.6030921929999999,0.283753579,3.281422028,4.11669923,2.271286519,79.89897151,78.53020768,5.893753056
3061,87.80540273,1.847779892,1.377606892,1.377606892,1.039082331,3.361736954,4.549853545,7.568259639,64.53068592,72.87694181,12.25138163
3063,88.11834243,1.756694546,1.216486529,1.277636773,0.5736145460000001,1.833285125,3.519376229,10.42488566,47.15004191,50.25575499,10.42488566
